""	"67.AV770T"	"35.AV590"	"25.AV608"	"18.AV863"	"06.AV996"	"91.AV609"	"19.AV864"	"79.AV567"	"82.AV579"	"55.AV717T"	"40.AV521"	"10.AV587"	"12.AV596"	"01.AV967"	"34.AV589"	"03.AV971"	"49.AV555T"	"84.AV803"	"52.AV612TA"	"68.AV791T"	"94.AV802"	"24.AV580"	"69.AV782.2T"	"93.AV611"	"44.AV543"	"36.AV591"	"75.AV794TA"	"80.AV568"	"66.AV604T"	"04.AV972"	"02.AV968"	"45.AV571"	"92.AV610"	"08.AV583"	"76.AV833T"	"56.AV718T"	"17.AV817"	"11.AV588"	"50.AV555TA"	"53.AV650T"	"71.AV604TA"	"81.AV570"	"70.AV794T"	"86.AV866"	"54.AV650TA"	"42.AV541"	"73.AV791TA"	"74.AV782.2TA"	"43.AV542"	"83.AV814"	"13.AV597"	"05.AV974"	"09.AV584"	"41.AV527"	"51.AV612T"	"32.AV572"	"85.AV865"	"33.AV586"	"37.AV598"	"16.AV816"	"48.AV551T"	"72.AV770TA"
"o__Acidimicrobiales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"o__Actinomycetales"	0	0.00496376451901122	0	0	0.0130263457843488	0	0.359766911578413	0	0	0	0	0.0280014000700035	0.00293392794272973	0.0252565114443568	0	0.00719295090811005	0	0.016324931435288	0.00208385429690756	0	0.0910017472335468	0	0	0.0101631180446161	0.0126761991684413	0	0	0.00757618804098718	0.00278303462095068	0	0	0	0	0.00669052955541431	0.00346380325597506	0.602460045184503	0	0	0.0116189900773825	0.0133170569304184	0	0	0	0	0.0045690613624941	0.0101631180446161	0	0	0.0043204009332066	0	0	0.00369890882189754	0	0.00782003492948935	0	0	0	0.0337217580276518	0	0.0184604024367731	0	0
"o__Aeromonadales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"o__Anaeroplasmatales"	0.479338325135499	0.50878586319865	0.00264015946563172	0.375435773665862	0.367994268407855	0.0716608055205361	2.33088421586015	0.120704760050618	0.208433207578631	0.00807376188861438	0.619889211289897	0.661533076653833	0.378476704612135	0.883977900552486	0.311748161702416	0.618593778097465	0.0496163006086266	0.551782682512733	0.0729349003917646	1.00355343824437	0.447728596389051	0.298929866454409	0.512479570071193	0.243914833070786	0.534935604908224	0.252772527497552	0.366925505589214	1.21219008655795	0.0946231771123233	1.36163291006402	0.654307524536532	0.472194156339567	0.0888807857973062	0.0167263238885358	0.0727398683754763	0.0962262572169693	1.08135252761969	0.272020725388601	0.118513698789301	0.608145599822439	0.0403644331680314	2.38335210766586	0.601130268888809	1.85602038649395	1.01890068383618	0.581838508054271	1.02201414483514	0.509187513836617	0.740948760044932	1.5909762584967	0.181851806189126	0.573330867394119	0.844994254039073	0.205927586476553	0.122612960450798	0.601971290599987	3.11409467487147	0.37093933830417	0.119345093797785	0.454125899944619	0.532369627729852	0.3757457038554
"o__Bacillales"	0.00313293022964379	0	0.0422425514501076	0	0	0.0928936367858802	0	0	0	0.0064590095108915	0.00376832347288691	0.0105005250262513	3.86985095646051	0.202052091554854	0	0	0	0.0130599451482304	0	0.00780975438322465	0.112842166569598	0	0	0.00254077951115402	0	0	0	0	0.0111321384838027	0.00524714030853185	0.00253607567649819	0	0.00227899450762324	0.0133810591108287	0.00346380325597506	0.0962262572169693	0.0100435219283562	0.113341968911917	0	0	0	0.00148218414655837	0.00719916489687196	0.00424718623911659	0	0	0	0.00201259886891944	0	0	0.973985945012945	0.00369890882189754	0.0101399310484689	0	0	0	0.00266389621460348	0.00749372400614485	0.00372953418118077	0.0627653682850286	0	0.00356157065265782
"o__Bacteroidales"	31.9182931796109	14.0846818226943	10.5395165868018	9.07079646017699	5.41895984628912	13.3289098268197	17.5424372941474	23.4439793633797	5.91741876315735	8.71481858257036	24.7446960847119	18.0469023451172	13.7249149160897	16.5651144435675	17.9560164006642	4.43085775939579	10.9255093940196	16.5012406947891	33.3270817704426	27.871060955133	24.5013104251602	6.61713982488724	25.8594420898086	12.6175110523909	20.2083967143292	10.805456243026	13.2690502602611	14.8417523722939	31.7293777134588	19.356700598174	10.3471887601126	15.7453038332268	17.4365869778254	12.3507175592948	20.3463803255975	16.2455024684127	12.246401071309	14.6794041450777	13.7150558873423	28.0745755188104	27.8687579287279	23.7164285290804	14.7726863683813	12.4569972393289	16.5141107845078	25.2578891203821	23.0520968223927	22.8751987441383	11.5073878855958	9.28726233868585	29.0531377142153	8.77751063436286	16.0819306428716	21.8596043062326	41.9805906292393	23.546338559238	19.2759530088708	23.0094795608678	13.183903330474	8.6653129038213	13.0722002020673	25.6842667616419
"o__Bdellovibrionales"	0.595256743632319	0.134021642013303	0.047522870381371	0.251407884151247	0.0553619695834826	0.12606993563798	0.461109703572333	0.169376034264577	0.152156241532401	0.221221075748034	0.331612465614048	0.672033601680084	0.234714235418378	0.489344909234412	0.0474399376503677	0.176227297248696	1.05186557290288	0.205694136084628	0.154205217971159	0.486157210355734	0.131042516016308	0.0831343415583267	0.803346353084573	0.0558971492453885	0.291552580874151	0.0979208890305832	0.40532468640669	0.475405799571945	0.105755315596126	0.514219750236121	0.0887626486774365	0.125780976142854	0.16180861004125	0.448265480212759	0.270176653966055	0.330516274788721	0.468697689989956	0.346502590673575	0.820300699463203	0.277438686050383	0.126859647099527	0.478745479338353	0.489543212987293	0.152898704608197	0.528488097595151	0.292189643782713	0.364578145233589	0.7144725984664	0.252743454592586	0.241355531474732	0.151029466157071	0.0776770852598483	0.162238896775502	0.208534264786383	0.0756548053845351	0.0727657604021962	0.372945470044487	0.206077410168983	0.082049751985977	0.14399113900683	0.264241859019196	0.550262665835634
"o__Bifidobacteriales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00266389621460348	0	0	0	0	0
"o__Burkholderiales"	0.184842883548983	0.20351434527946	0.147848930075376	0.0335210512201663	0.0879278340443547	0.221617676332028	0.329364073980238	0.720334858366591	0.0896262792588116	0.560319075069837	0.478577081056638	0.364018200910046	0.170167820678324	0.271507498026835	0.220256853376707	0.381226398129832	6.466657845991	0.287318793261068	1.11069434025173	0.37096333320317	4.5027664531159	0.252940656230653	0.0775644754702346	0.172773006758474	0.529865125240847	0.0774258192334844	0.155730011093096	0.217815406178382	0.180897250361794	0.107566376324903	0.131875935177906	0.463946223477741	0.177761571594613	0.970126785535075	0.28749567024593	2.32198142414861	0.0535654502845664	0.132772020725388	2.24478888295029	0.925535456664077	0.217199092761312	0.302365565897907	0.194377452215543	0.0934380972605649	0.525442056686822	0.167691447736166	0.541886642095826	0.0563527683297442	0.142573230795818	0.155157127376614	0.342127974355813	0.166450896985389	0.185898735888596	0.495268878867659	0.918292810184702	0.605278825163723	0.157169876661605	0.333470718273446	0.0783202178047962	0.0553812073103193	4.38719204165695	0.122874187516695
"o__Campylobacterales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
