""	"67.AV770T"	"35.AV590"	"25.AV608"	"18.AV863"	"06.AV996"	"91.AV609"	"19.AV864"	"79.AV567"	"82.AV579"	"55.AV717T"	"40.AV521"	"10.AV587"	"12.AV596"	"01.AV967"	"34.AV589"	"03.AV971"	"49.AV555T"	"84.AV803"	"52.AV612TA"	"68.AV791T"	"94.AV802"	"24.AV580"	"69.AV782.2T"	"93.AV611"	"44.AV543"	"36.AV591"	"75.AV794TA"	"80.AV568"	"66.AV604T"	"04.AV972"	"02.AV968"	"45.AV571"	"92.AV610"	"08.AV583"	"76.AV833T"	"56.AV718T"	"17.AV817"	"11.AV588"	"50.AV555TA"	"53.AV650T"	"71.AV604TA"	"81.AV570"	"70.AV794T"	"86.AV866"	"54.AV650TA"	"42.AV541"	"73.AV791TA"	"74.AV782.2TA"	"43.AV542"	"83.AV814"	"13.AV597"	"05.AV974"	"09.AV584"	"41.AV527"	"51.AV612T"	"32.AV572"	"85.AV865"	"33.AV586"	"37.AV598"	"16.AV816"	"48.AV551T"	"72.AV770TA"
"c__Deferribacteres"	0.773833766722015	4.77265958502929	4.29817961004845	4.40466613032985	4.2009965154525	0.200384845066684	0.942487965543451	1.06492747980142	2.59707776642975	5.48854333188006	0.45219881674643	4.95274763738187	1.54031216993311	3.75374901341752	2.07041442174105	5.40909908289876	0.241465996295316	6.08593443907536	0.77727765274652	0.333866999882854	0.378567268491555	1.71575130450164	0.534640848776974	2.86599928858174	3.7597606733597	2.25673490765832	2.39781551326905	1.84290774097013	0.384058777691194	3.72809318921188	9.13494458674647	2.18776419159948	0.656350418195492	0.0936674137758004	0.820921371666089	7.09564053217304	0.917308336123201	1.34391191709845	1.19443217995492	1.21851070913328	0.232576019682466	0.942669117211122	8.32943378568086	1.34211085156084	3.93700787401575	1.70486305198435	0.53790218149218	0.434721355686598	3.25326190270457	9.090237415033	0.471581802490445	3.57314592195302	0.878794024200635	1.28769908505591	0.14087446519879	2.28881391810544	0.285036894962572	1.47251676720746	1.93189870585164	5.67841978955141	0.722779202611331	0.612590152257145
"c__Deltaproteobacteria"	1.47247720793258	0.828948674674874	0.545192929652951	0.660364709037275	0.582928973849611	0.619733262557229	0.831010894350139	1.10191764820403	0.706588573691561	1.54208852072535	0.98164826468704	1.02905145257263	0.953526581387162	1.22178374112076	0.576056385754465	1.34508181981658	1.72333950780629	0.937051064385529	1.81503709260648	0.765355929556016	0.753494467093769	0.590784469797471	1.77290229646251	0.569134610498501	1.32846567285265	0.414455855896888	1.00264527690076	0.901566376877474	0.306133808304575	1.22783083219645	0.796327762420431	0.99593789306555	0.758905171038538	0.592111865654167	1.07377900935227	3.83649903773743	0.676263809842651	1.02331606217616	1.30365068668231	2.28609477305515	0.442086648983201	0.741092073279184	0.928692271696483	0.577617328519856	2.33783639714281	0.90959906499314	0.772985357107281	1.40680660937469	0.89648319364037	0.780711259974387	0.878436690913574	0.850749029036435	0.618535793956602	1.11565831660715	0.693937180423667	1.15432956274393	1.39321772023762	0.438382854359473	0.518405251184127	0.450433819457264	2.58801585451154	1.32312349746238
"c__Epsilonproteobacteria"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"c__Erysipelotrichia"	0.266299069519722	0.0819021145636851	0.339260491333677	0.187717886832932	0.120493698505227	0.456505872204897	0.450975424372941	0.138226418767643	0.125059924547179	6.3734276348722	0.631194181708558	0.23451172558628	0.187771388334703	0.176795580110497	0.0406628037003152	0.377629922675778	20.1012172532416	0.643202298550346	8.408352088022	0.25967433324222	0.728013977868375	0.123817104448572	0.155128950940469	0.330301336450023	3.46060237298449	0.0409901395941976	0.236794948374435	0.113642820614808	13.375264388289	0.120684227096233	0.0760822702949455	0.449512340969544	0.373755099250211	0.986853109423611	0.211291998614479	6.17939921345495	0.294609976565115	0.327072538860103	10.2572444403132	1.5203639995561	15.0905316572483	0.211952332957847	0.31316367301393	0.441707368868125	0.775217411169832	0.294730423293866	0.247036557426038	0.205285084629782	0.181456839194677	0.0591074770958526	0.428430526445568	0.665803587941558	0.155478942743189	0.278914579151787	13.1274131274131	0.201759608387908	0.431551186765763	0.318483270261157	0.458732704285235	0.140299058519476	4.85738711432346	0.422046122339952
"c__Flavobacteriia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"c__Gammaproteobacteria"	0.0219305116075065	0	0	0.00335210512201663	0	0	0.0152014187990879	0	0.0104216603789316	0.0177622761549516	0	0.0210010500525026	0.0293392794272973	0.0315706393054459	0	0	0.119079121460704	0.00652997257411519	0.147953655080437	0.0156195087664493	0.00364006988934188	0	0	0	0	0	0	0	2.78303462095068	0.00524714030853185	0	0.0268057818009361	0	0.00669052955541432	0.0381018358157257	0.39745627980922	0	0	0.0278855761857179	0.035512151814449	0.791911736439473	0	0	0.00424718623911659	0.0045690613624941	0.00254077951115402	0	0	0.0518448111984792	0	0	0	0	0	0.109569028487947	0	0	0.0262280340215069	0	0	0.0427450066060465	0.00890392663164456
"c__Mollicutes"	0.479338325135499	0.50878586319865	0.00264015946563172	0.375435773665862	0.367994268407855	0.0716608055205361	2.33088421586015	0.120704760050618	0.208433207578631	0.00807376188861438	0.619889211289897	0.661533076653833	0.378476704612135	0.883977900552486	0.311748161702416	0.618593778097465	0.0496163006086266	0.551782682512733	0.0729349003917646	1.00355343824437	0.447728596389051	0.298929866454409	0.512479570071193	0.243914833070786	0.534935604908224	0.252772527497552	0.366925505589214	1.21219008655795	0.0946231771123233	1.36163291006402	0.654307524536532	0.472194156339567	0.0888807857973062	0.0167263238885358	0.0727398683754763	0.0962262572169693	1.08135252761969	0.272020725388601	0.118513698789301	0.608145599822439	0.0403644331680314	2.38335210766586	0.601130268888809	1.85602038649395	1.01890068383618	0.581838508054271	1.02201414483514	0.509187513836617	0.740948760044932	1.5909762584967	0.181851806189126	0.573330867394119	0.844994254039073	0.205927586476553	0.122612960450798	0.601971290599987	3.11409467487147	0.37093933830417	0.119345093797785	0.454125899944619	0.532369627729852	0.3757457038554
"c__Negativicutes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015230204541647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"c__Saccharibacteria_genera_incertae_sedis"	0.272564929979009	0.0918296436017075	0.125407574617507	0.402252614641995	0.182368840980884	0.116780571959392	0.932353686344059	0.138226418767643	0.104216603789316	0.332638989810912	0.307118363040283	0.56002800140007	0.363807064898486	0.476716653512234	0.10843414320084	0.7516633698975	1.40248743053718	0.153454355491707	0.200050012503126	0.279198719200281	0.273005241700641	0.25470947200849	0.229923266572481	0.177854565780782	0.461413649731265	0.059207979413841	0.0981312398668828	0.257590393393564	1.91751085383502	0.69524609088047	0.284040475767797	0.129904942573767	0.16864559356412	0.227478004884087	1.17076550051957	1.20492009036901	0.33478406427854	1.06541450777202	1.16887040178468	0.679169903451337	1.06293007342483	0.262346593940831	0.165580792628055	0.88341473773625	0.300035029470446	0.309975100360791	0.364578145233589	0.352204802060901	0.142573230795818	0.0689587232784947	0.46849956848724	0.388385426299242	0.415737172987224	0.609962724500169	0.936554314932693	0.102533571475822	1.29198966408269	0.1086589980891	0.227501585052027	0.387668451172236	4.76801119141991	0.525331671267029
"c__Sphingobacteriia"	0.0125317209185751	0	0.00132007973281586	0	0	0.00663525977042001	0	0	0.00208433207578631	0.0242212856658431	0	0	0	0	0	0	0.727705742259857	0	0	0	0.029120559114735	0.00884407888918369	0	0.00254077951115402	0	0.00455445995491085	0	0	0.0166982077257041	0	0	0	0	0	0	0.0418375031378127	0	0	0.171961053145261	0.0133170569304184	0.00192211586514435	0	0	0	0.0045690613624941	0	0	0	0	0	0.00308223400320552	0	0	0	0.0313054367108421	0	0	0.0224811720184346	0	0	0.248698220253361	0.00534235597898673
